Recipe	Ingredient	Specie	Quantity	Dry_matter	Energy	Water	Glucides	Lipids	Proteins	Richness	Phylogenetic_diversity	Weighted_phylogenetic_diversity	Shannon	Simpson	URL
Hamburger Végétarien 	Salade	Lactuca sativa	NA 	NA	NA	96.1	1.5	0.1	1.01	7	204.67	NA	NA	NA	https://www.marmiton.org/recettes/recette_hamburger-vegetarien_19445.aspx
Hamburger Végétarien 	Toastinette	NA	NA 	NA	NA	37.1	NA	33.8	24	7	204.67	NA	NA	NA	https://www.marmiton.org/recettes/recette_hamburger-vegetarien_19445.aspx
Hamburger Végétarien 	Mayonnaise	NA	NA 	NA	NA	18.1	2.62	75.2	1.36	7	204.67	NA	NA	NA	https://www.marmiton.org/recettes/recette_hamburger-vegetarien_19445.aspx
Hamburger Végétarien 	Pain pour hamburger	NA	NA 	NA	NA	30.9	49.7	5.35	9.07	7	204.67	NA	NA	NA	https://www.marmiton.org/recettes/recette_hamburger-vegetarien_19445.aspx
Hamburger Végétarien 	Cornichons	Cucumis sativus	NA 	NA	NA	93.7	0.78	 0.6	1.06	7	204.67	NA	NA	NA	https://www.marmiton.org/recettes/recette_hamburger-vegetarien_19445.aspx
Hamburger Végétarien 	Petits pois	Pisum sativum	NA 	NA	NA	79.2	7	0.55	5.84	7	204.67	NA	NA	NA	https://www.marmiton.org/recettes/recette_hamburger-vegetarien_19445.aspx
Hamburger Végétarien 	Maïs	Zea mays	NA 	NA	NA	75.4	18.4	1.68	2.82	7	204.67	NA	NA	NA	https://www.marmiton.org/recettes/recette_hamburger-vegetarien_19445.aspx
Hamburger Végétarien 	Oignon	Allium cepa	NA 	NA	NA	89.6	6.25	0.62	1.1	7	204.67	NA	NA	NA	https://www.marmiton.org/recettes/recette_hamburger-vegetarien_19445.aspx
Hamburger Végétarien 	Oeuf	Gallus gallus	NA 	NA	NA	76.3	0.27	9.83	12.7	7	204.67	NA	NA	NA	https://www.marmiton.org/recettes/recette_hamburger-vegetarien_19445.aspx
Hamburger Végétarien 	Farine	Triticum aestivum	NA 	NA	NA	12.5	73.7	1	9.03	7	204.67	NA	NA	NA	https://www.marmiton.org/recettes/recette_hamburger-vegetarien_19445.aspx
Hamburger Végétarien 	Chapelure	NA	NA 	NA	NA	7.29	70	3.77	11.6	7	204.67	NA	NA	NA	https://www.marmiton.org/recettes/recette_hamburger-vegetarien_19445.aspx
Hamburger Végétarien 	Épices	NA	NA 	NA	NA	8.46	50.5	8.69	6.09	7	204.67	NA	NA	NA	https://www.marmiton.org/recettes/recette_hamburger-vegetarien_19445.aspx

