recipe_name	ingredients	quantity	unit	url
Croque-pizza maison	champignon de Paris	90	g	https://www.marmiton.org/recettes/recette_croque-pizza-maison_344022.aspx
Croque-pizza maison	parmesan	100	g	https://www.marmiton.org/recettes/recette_croque-pizza-maison_344022.aspx
Croque-pizza maison	origan	2	cuillère à soupe	https://www.marmiton.org/recettes/recette_croque-pizza-maison_344022.aspx
Croque-pizza maison	huile d'olive	2	cuillère à soupe	https://www.marmiton.org/recettes/recette_croque-pizza-maison_344022.aspx
Croque-pizza maison	poivre blanc	1	pincée	https://www.marmiton.org/recettes/recette_croque-pizza-maison_344022.aspx
Croque-pizza maison	sel	1	pincée	https://www.marmiton.org/recettes/recette_croque-pizza-maison_344022.aspx
Croque-pizza maison	ail	1	pincée	https://www.marmiton.org/recettes/recette_croque-pizza-maison_344022.aspx
Croque-pizza maison	persil	1	pincée	https://www.marmiton.org/recettes/recette_croque-pizza-maison_344022.aspx
Croque-pizza maison	basilic	2	cuillère à soupe	https://www.marmiton.org/recettes/recette_croque-pizza-maison_344022.aspx
Croque-pizza maison	concentré de tomates	30	g	https://www.marmiton.org/recettes/recette_croque-pizza-maison_344022.aspx
Croque-pizza maison	pain de mie	4	tranche	https://www.marmiton.org/recettes/recette_croque-pizza-maison_344022.aspx
Croque-pizza maison	mozzarella	1	boule	https://www.marmiton.org/recettes/recette_croque-pizza-maison_344022.aspx
Croque-pizza maison	jambon blanc	2	tranche	https://www.marmiton.org/recettes/recette_croque-pizza-maison_344022.aspx
Croque-pizza maison	olives noires	90	g	https://www.marmiton.org/recettes/recette_croque-pizza-maison_344022.aspx
