Recipe	Ingredient	Specie	Quantity	Dry_matter	Energy	Water	Glucides	Lipids	Proteins	Richness	Phylogenetic_diversity	Weighted_phylogenetic_diversity	Shannon	Simpson	URL
Gâteau au yaourt	Levure chimique	NA	3 g	2.84 g	NA	5.4	33.2	0.2	1.96	6	210.8	31.18	-7.74	27.88	https://www.marmiton.org/recettes/recette_gateau-au-yaourt_12719.aspx
Gâteau au yaourt	Huile de colza	Brassica napus	50 cl	500.0 g	3700.0	0	0	100	0	6	210.8	31.18	-7.74	27.88	https://www.marmiton.org/recettes/recette_gateau-au-yaourt_12719.aspx
Gâteau au yaourt	Sucre semoule	Saccharum	100 g	99.83 g	NA	0.17	99.8	0	0	6	210.8	31.18	-7.74	27.88	https://www.marmiton.org/recettes/recette_gateau-au-yaourt_12719.aspx
Gâteau au yaourt	Farine	Triticum aestivum	150 g	131.25 g	1480.0	12.5	73.7	1	9.03	6	210.8	31.18	-7.74	27.88	https://www.marmiton.org/recettes/recette_gateau-au-yaourt_12719.aspx
Gâteau au yaourt	Citron	Citrus limon	5 g	0.69 g	170.0	86.3	3.14	 0.3	1.13	6	210.8	31.18	-7.74	27.88	https://www.marmiton.org/recettes/recette_gateau-au-yaourt_12719.aspx
Gâteau au yaourt	Yaourt nature	Bos taurus	100 g	12.8 g	270.0	87.2	3.47	3.6	3.84	6	210.8	31.18	-7.74	27.88	https://www.marmiton.org/recettes/recette_gateau-au-yaourt_12719.aspx
Gâteau au yaourt	Oeuf	Gallus gallus	160 g	37.92 g	584.0	76.3	0.27	9.83	12.7	6	210.8	31.18	-7.74	27.88	https://www.marmiton.org/recettes/recette_gateau-au-yaourt_12719.aspx
Gâteau au chocolat fondant rapide	Sucre en poudre	Saccharum	100 g	99.83 g	NA	0.17	99.8	0	0	3	126.0	42.73	0.46	2.04	https://www.marmiton.org/recettes/recette_gateau-au-chocolat-fondant-rapide_166352.aspx
Gâteau au chocolat fondant rapide	Beurre	Bos taurus	100 g	84.6 g	3100.0	15.4	0.9	82.9	0.7	3	126.0	42.73	0.46	2.04	https://www.marmiton.org/recettes/recette_gateau-au-chocolat-fondant-rapide_166352.aspx
Gâteau au chocolat fondant rapide	Oeuf	Gallus gallus	240 g	56.88 g	584.0	76.3	0.27	9.83	12.7	3	126.0	42.73	0.46	2.04	https://www.marmiton.org/recettes/recette_gateau-au-chocolat-fondant-rapide_166352.aspx
Tiramisu (recette originale)	Biscuit à la cuillère	Triticum	150 g	140.55 g	NA	6.3	79.9	3.77	7.98	5	193.0	39.06	0.26	3.69	https://www.marmiton.org/recettes/recette_tiramisu-recette-originale_12023.aspx
Tiramisu (recette originale)	Oeuf	Gallus gallus	160 g	37.92 g	584.0	76.3	0.27	9.83	12.7	5	193.0	39.06	0.26	3.69	https://www.marmiton.org/recettes/recette_tiramisu-recette-originale_12023.aspx
Tiramisu (recette originale)	Mascarpone	Bos taurus	250 g	121.25 g	NA	51.5	4	39	4.38	5	193.0	39.06	0.26	3.69	https://www.marmiton.org/recettes/recette_tiramisu-recette-originale_12023.aspx
Tiramisu (recette originale)	Café	Coffea arabica	50 cl	11.0 g	29.0	97.8	1.35	0.018	 0.5	5	193.0	39.06	0.26	3.69	https://www.marmiton.org/recettes/recette_tiramisu-recette-originale_12023.aspx
Tiramisu (recette originale)	Cacao amer	Theobroma cacao	30 g	28.95 g	1610.0	3.5	11.6	20.6	22.4	5	193.0	39.06	0.26	3.69	https://www.marmiton.org/recettes/recette_tiramisu-recette-originale_12023.aspx
Cookies maison	Farine	Triticum aestivum	150 g	131.25 g	1480.0	12.5	73.7	1	9.03	4	164.0	40.41	0.2	3.26	https://www.marmiton.org/recettes/recette_cookies-maison_86989.aspx
Cookies maison	Chocolat noir	Theobroma cacao	100 g	99.3 g	NA	0.7	42.9	33.8	6.63	4	164.0	40.41	0.2	3.26	https://www.marmiton.org/recettes/recette_cookies-maison_86989.aspx
