Recette	Ingrédient	Espèce	Quantité 	Matière_sèche	Eau	Glucides	Lipides	Protéines	Diversité phylogénétique	Diversité phylogénétique pondérée	Indice de Shannon	Indice de Simpson	URL de la recette
Ratatouille	Aubergine	Solanum melongena	350 g	24.85 g	92.9	2.39	0.14	1.12	144.22	14.27	2.37	1.61	https://www.marmiton.org/recettes/recette_ratatouille_23223.aspx
Ratatouille	Courgette	Cucurbita pepo	350 g	18.55 g	94.7	1.8	0.26	1.23	144.22	14.27	2.37	1.61	https://www.marmiton.org/recettes/recette_ratatouille_23223.aspx
Ratatouille	Poivron	Capsicum annuum	350 g	27.65 g	92.1	4.55	0.27	0.8	144.22	14.27	2.37	1.61	https://www.marmiton.org/recettes/recette_ratatouille_23223.aspx
Ratatouille	Tomate	Solanum lycopersicum	500 g	59.0 g	88.2	8.53	0.2	2.05	144.22	14.27	2.37	1.61	https://www.marmiton.org/recettes/recette_ratatouille_23223.aspx
Ratatouille	Ail	Allium sativum	120 g	38.64 g	67.8	18.6	 0.5	5.31	144.22	14.27	2.37	1.61	https://www.marmiton.org/recettes/recette_ratatouille_23223.aspx
Ratatouille	Huile d'olive	Olea europaea	90 g	89.91 g	0.1	0	99.9	 0.5	144.22	14.27	2.37	1.61	https://www.marmiton.org/recettes/recette_ratatouille_23223.aspx
Ratatouille	Thym	Thymus vulgaris	5 g	1.75 g	65.1	10.5	1.68	5.56	144.22	14.27	2.37	1.61	https://www.marmiton.org/recettes/recette_ratatouille_23223.aspx
Ratatouille	Poivre	Piper nigrum	1 g	0.91 g	9	39.5	7.5	13.3	144.22	14.27	2.37	1.61	https://www.marmiton.org/recettes/recette_ratatouille_23223.aspx
Ratatouille	Sel	NA	1 g	1.0 g	0.027	0	0	0	144.22	14.27	2.37	1.61	https://www.marmiton.org/recettes/recette_ratatouille_23223.aspx
Ratatouille	Oignon	Allium cepa	350 g	36.4 g	89.6	6.25	0.62	1.1	144.22	14.27	2.37	1.61	https://www.marmiton.org/recettes/recette_ratatouille_23223.aspx
Ratatouille	Feuille de laurier	Laurus nobilis	3 g	2.84 g	5.44	48.6	8.36	7.61	144.22	14.27	2.37	1.61	https://www.marmiton.org/recettes/recette_ratatouille_23223.aspx

