recipe_name	ingredients	quantity	unit	url
Ratatouille	Aubergine	350	g	https://www.marmiton.org/recettes/recette_ratatouille_23223.aspx
Ratatouille	Courgette	350	g	https://www.marmiton.org/recettes/recette_ratatouille_23223.aspx
Ratatouille	Poivron	350	g	https://www.marmiton.org/recettes/recette_ratatouille_23223.aspx
Ratatouille	Tomate	500	g	https://www.marmiton.org/recettes/recette_ratatouille_23223.aspx
Ratatouille	Ail	120	g	https://www.marmiton.org/recettes/recette_ratatouille_23223.aspx
Ratatouille	Huile d'olive	90	g	https://www.marmiton.org/recettes/recette_ratatouille_23223.aspx
Ratatouille	Thym	5	g	https://www.marmiton.org/recettes/recette_ratatouille_23223.aspx
Ratatouille	Poivre	1	g	https://www.marmiton.org/recettes/recette_ratatouille_23223.aspx
Ratatouille	Sel	1	g	https://www.marmiton.org/recettes/recette_ratatouille_23223.aspx
Ratatouille	Oignon	350	g	https://www.marmiton.org/recettes/recette_ratatouille_23223.aspx
Ratatouille	Feuille de laurier	3	g	https://www.marmiton.org/recettes/recette_ratatouille_23223.aspx
