Recipe	Ingredient	Specie	Quantity	Dry_matter	Energy	Water	Glucides	Lipids	Proteins	Richness	Phylogenetic_diversity	Weighted_phylogenetic_diversity	Shannon	Simpson	URL
Lasagnes végétariennes (facile)	Tomate	Solanum lycopersicum	700 g	82.6 g	NA	88.2	8.53	0.2	2.05	7	247.5	33.71	1.18	3.91	https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes-facile_10527.aspx
Lasagnes végétariennes (facile)	Courgette	Cucurbita pepo	500 g	26.5 g	69.4	94.7	1.8	0.26	1.23	7	247.5	33.71	1.18	3.91	https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes-facile_10527.aspx
Lasagnes végétariennes (facile)	Poivre	Piper nigrum	1 g	0.91 g	1380.0	9	39.5	7.5	13.3	7	247.5	33.71	1.18	3.91	https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes-facile_10527.aspx
Lasagnes végétariennes (facile)	Sel	NA	1 g	1.0 g	0.0	0.027	0	0	0	7	247.5	33.71	1.18	3.91	https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes-facile_10527.aspx
Lasagnes végétariennes (facile)	Herbes de provence	NA	3 g	2.79 g	1170.0	7.1	23	7.2	11.5	7	247.5	33.71	1.18	3.91	https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes-facile_10527.aspx
Lasagnes végétariennes (facile)	Lasagnes	Triticum	200 g	63.8 g	566.0	68.1	23	2	4.57	7	247.5	33.71	1.18	3.91	https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes-facile_10527.aspx
Lasagnes végétariennes (facile)	Basilic frais	Ocimum basilicum	5 g	0.42 g	145.0	91.7	2.55	0.47	3.35	7	247.5	33.71	1.18	3.91	https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes-facile_10527.aspx
Lasagnes végétariennes (facile)	Gruyère râpé	Bos taurus	50 g	33.75 g	1760.0	32.5	NA	34.6	28.4	7	247.5	33.71	1.18	3.91	https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes-facile_10527.aspx
Lasagnes végétariennes (facile)	Coulis de tomate	Solanum lycopersicum	200 g	23.6 g	NA	88.2	8.53	0.2	2.05	7	247.5	33.71	1.18	3.91	https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes-facile_10527.aspx
Lasagnes végétariennes (facile)	Oignon	Allium cepa	400 g	41.6 g	NA	89.6	6.25	0.62	1.1	7	247.5	33.71	1.18	3.91	https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes-facile_10527.aspx
Lasagnes végétariennes (facile)	Béchamel	Bos taurus	50 cl	125.5 g	NA	74.9	8.97	10.6	3.84	7	247.5	33.71	1.18	3.91	https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes-facile_10527.aspx
Hachis parmentier végétarien	Navet	NA	200 g	16.2 g	NA	91.9	4.7	0.1	0.76	9	176.0	19.34	2.15	0.36	https://www.marmiton.org/recettes/recette_hachis-parmentier-vegetarien_14594.aspx
Hachis parmentier végétarien	Carotte	Daucus carota	240 g	28.56 g	169.0	88.1	7.59	 0.5	0.63	9	176.0	19.34	2.15	0.36	https://www.marmiton.org/recettes/recette_hachis-parmentier-vegetarien_14594.aspx
Hachis parmentier végétarien	Céleri	Apium graveolens	50 g	3.3 g	73.4	93.4	2.41	 0.5	0.63	9	176.0	19.34	2.15	0.36	https://www.marmiton.org/recettes/recette_hachis-parmentier-vegetarien_14594.aspx
Hachis parmentier végétarien	Champignon de paris	Dikarya	100 g	6.1 g	118.0	93.9	3.15	0.36	2.62	9	176.0	19.34	2.15	0.36	https://www.marmiton.org/recettes/recette_hachis-parmentier-vegetarien_14594.aspx
Hachis parmentier végétarien	Oignon	Allium cepa	240 g	24.96 g	NA	89.6	6.25	0.62	1.1	9	176.0	19.34	2.15	0.36	https://www.marmiton.org/recettes/recette_hachis-parmentier-vegetarien_14594.aspx
Hachis parmentier végétarien	Ail	Allium sativum	40 g	12.88 g	470.0	67.8	18.6	 0.5	5.31	9	176.0	19.34	2.15	0.36	https://www.marmiton.org/recettes/recette_hachis-parmentier-vegetarien_14594.aspx
Hachis parmentier végétarien	Sauce soja	Glycine max	15 g	4.66 g	193.0	68.9	3.64	0.1	7.08	9	176.0	19.34	2.15	0.36	https://www.marmiton.org/recettes/recette_hachis-parmentier-vegetarien_14594.aspx
Hachis parmentier végétarien	Persil	Petroselinum crispum	4 g	0.58 g	180.0	85.5	3.48	0.63	3.71	9	176.0	19.34	2.15	0.36	https://www.marmiton.org/recettes/recette_hachis-parmentier-vegetarien_14594.aspx
Hachis parmentier végétarien	Pain de mie	Triticum	50 g	32.3 g	1110.0	35.4	43.7	4.06	8.51	9	176.0	19.34	2.15	0.36	https://www.marmiton.org/recettes/recette_hachis-parmentier-vegetarien_14594.aspx
Hachis parmentier végétarien	Huile d'olive	Olea europaea	30 g	29.97 g	3700.0	0.1	0	99.9	 0.5	9	176.0	19.34	2.15	0.36	https://www.marmiton.org/recettes/recette_hachis-parmentier-vegetarien_14594.aspx
Curry de légumes végétarien	Ail	Allium sativum	120 g	38.64 g	470.0	67.8	18.6	 0.5	5.31	10	161.78	16.71	2.01	1.09	https://www.marmiton.org/recettes/recette_curry-de-legumes-vegetarien_88522.aspx
Curry de légumes végétarien	Concentré de tomates	Solanum lycopersicum	30 g	8.4 g	419.0	72	17.1	0.53	4.4	10	161.78	16.71	2.01	1.09	https://www.marmiton.org/recettes/recette_curry-de-legumes-vegetarien_88522.aspx
Curry de légumes végétarien	Cumin	Cuminum cyminum	15 g	13.79 g	1780.0	8.06	33.7	22.3	17.8	10	161.78	16.71	2.01	1.09	https://www.marmiton.org/recettes/recette_curry-de-legumes-vegetarien_88522.aspx
Curry de légumes végétarien	Basilic	Ocimum basilicum	5 g	0.42 g	145.0	91.7	2.55	0.47	3.35	10	161.78	16.71	2.01	1.09	https://www.marmiton.org/recettes/recette_curry-de-legumes-vegetarien_88522.aspx
Curry de légumes végétarien	Poivre	Piper nigrum	1 g	0.91 g	1380.0	9	39.5	7.5	13.3	10	161.78	16.71	2.01	1.09	https://www.marmiton.org/recettes/recette_curry-de-legumes-vegetarien_88522.aspx
Curry de légumes végétarien	Sel	NA	1 g	1.0 g	0.0	0.027	0	0	0	10	161.78	16.71	2.01	1.09	https://www.marmiton.org/recettes/recette_curry-de-legumes-vegetarien_88522.aspx
Curry de légumes végétarien	Patate douce	Ipomoea batatas	150 g	55.35 g	NA	63.1	19.3	NA	NA	10	161.78	16.71	2.01	1.09	https://www.marmiton.org/recettes/recette_curry-de-legumes-vegetarien_88522.aspx
Curry de légumes végétarien	Échalote	Allium ascalonicum	120 g	21.24 g	269.0	82.3	12.2	 0.5	1.81	10	161.78	16.71	2.01	1.09	https://www.marmiton.org/recettes/recette_curry-de-legumes-vegetarien_88522.aspx
Curry de légumes végétarien	Crème de coco	Cocos nucifera	30 cl	74.7 g	775.0	75.1	3.4	18.4	1.77	10	161.78	16.71	2.01	1.09	https://www.marmiton.org/recettes/recette_curry-de-legumes-vegetarien_88522.aspx
Curry de légumes végétarien	Pâte de curry	NA	50 g	NA	NA	NA	NA	NA	NA	10	161.78	16.71	2.01	1.09	https://www.marmiton.org/recettes/recette_curry-de-legumes-vegetarien_88522.aspx
Curry de légumes végétarien	Citron vert	Citrus aurantiifolia	30 g	4.11 g	170.0	86.3	3.14	 0.3	1.13	10	161.78	16.71	2.01	1.09	https://www.marmiton.org/recettes/recette_curry-de-legumes-vegetarien_88522.aspx
Curry de légumes végétarien	Petit piment	Capsicum annuum	20 g	2.42 g	NA	87.9	7.7	0.32	1.87	10	161.78	16.71	2.01	1.09	https://www.marmiton.org/recettes/recette_curry-de-legumes-vegetarien_88522.aspx
Hamburger Végétarien 	Épices	NA	3 g	2.75 g	1460.0	8.46	50.5	8.69	6.09	6	196.67	24.22	-1.88	8.82	https://www.marmiton.org/recettes/recette_hamburger-vegetarien_19445.aspx
Hamburger Végétarien 	Petits pois	Pisum sativum	200 g	41.6 g	NA	79.2	7	0.55	5.84	6	196.67	24.22	-1.88	8.82	https://www.marmiton.org/recettes/recette_hamburger-vegetarien_19445.aspx
Hamburger Végétarien 	Oignon	Allium cepa	120 g	12.48 g	NA	89.6	6.25	0.62	1.1	6	196.67	24.22	-1.88	8.82	https://www.marmiton.org/recettes/recette_hamburger-vegetarien_19445.aspx
Hamburger Végétarien 	Oeuf	Gallus gallus	80 g	18.96 g	584.0	76.3	0.27	9.83	12.7	6	196.67	24.22	-1.88	8.82	https://www.marmiton.org/recettes/recette_hamburger-vegetarien_19445.aspx
Hamburger Végétarien 	Chapelure	Triticum	50 g	46.35 g	1580.0	7.29	70	3.77	11.6	6	196.67	24.22	-1.88	8.82	https://www.marmiton.org/recettes/recette_hamburger-vegetarien_19445.aspx
Hamburger Végétarien 	Salade	Lactuca sativa	70 g	2.73 g	NA	96.1	1.5	0.1	1.01	6	196.67	24.22	-1.88	8.82	https://www.marmiton.org/recettes/recette_hamburger-vegetarien_19445.aspx
Hamburger Végétarien 	Toastinette	NA	120 g	75.48 g	1650.0	37.1	NA	33.8	24	6	196.67	24.22	-1.88	8.82	https://www.marmiton.org/recettes/recette_hamburger-vegetarien_19445.aspx
Hamburger Végétarien 	Mayonnaise	NA	50 g	40.95 g	NA	18.1	2.62	75.2	1.36	6	196.67	24.22	-1.88	8.82	https://www.marmiton.org/recettes/recette_hamburger-vegetarien_19445.aspx
Hamburger Végétarien 	Pain pour hamburger	Triticum	300 g	207.3 g	1240.0	30.9	49.7	5.35	9.07	6	196.67	24.22	-1.88	8.82	https://www.marmiton.org/recettes/recette_hamburger-vegetarien_19445.aspx
Hamburger Végétarien 	Cornichons	Cucumis sativus	50 g	3.15 g	81.9	93.7	0.78	 0.6	1.06	6	196.67	24.22	-1.88	8.82	https://www.marmiton.org/recettes/recette_hamburger-vegetarien_19445.aspx
Tourte de Noël végétarienne de Coralie	Tomate	Solanum lycopersicum	200 g	23.6 g	NA	88.2	8.53	0.2	2.05	15	409.43	25.68	-0.41	10.55	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Sucre en poudre	Saccharum	5 g	4.99 g	NA	0.17	99.8	0	0	15	409.43	25.68	-0.41	10.55	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Vinaigre balsamique	Vitis	30 g	8.91 g	531.0	70.3	25.8	 0.6	0.69	15	409.43	25.68	-0.41	10.55	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Huile d'olive	Olea europaea	30 g	29.97 g	3700.0	0.1	0	99.9	 0.5	15	409.43	25.68	-0.41	10.55	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Madère	NA	12 cl	NA	NA	NA	3.6	2.2	0.6	15	409.43	25.68	-0.41	10.55	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Champignon	Dikarya	275 g	16.77 g	118.0	93.9	3.15	0.36	2.62	15	409.43	25.68	-0.41	10.55	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Coriandre	Coriandrum sativum	2 g	1.82 g	1430.0	8.88	13	17.8	12.4	15	409.43	25.68	-0.41	10.55	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Cannelle	Cinnamomum verum	2 g	1.79 g	1000.0	10.6	27.5	1.22	3.87	15	409.43	25.68	-0.41	10.55	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Thym	Thymus vulgaris	2 g	0.7 g	446.0	65.1	10.5	1.68	5.56	15	409.43	25.68	-0.41	10.55	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Miel	Apis	30 g	24.72 g	NA	17.6	81.7	0	0.56	15	409.43	25.68	-0.41	10.55	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Pâte feuilletée	Triticum	400 g	282.0 g	1570.0	29.5	41.4	20.4	5.41	15	409.43	25.68	-0.41	10.55	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Marrons	Castanea	400 g	149.2 g	NA	62.7	28.8	1.4	1.96	15	409.43	25.68	-0.41	10.55	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Épinards	Spinacia oleracea	250 g	21.0 g	NA	91.6	2.25	0.5	2.62	15	409.43	25.68	-0.41	10.55	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Échalote	Allium ascalonicum	80 g	14.16 g	269.0	82.3	12.2	 0.5	1.81	15	409.43	25.68	-0.41	10.55	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
