Recette	Ingrédient	Espèce	Quantité 	Matière sèche (g)	Eau (%)	Glucides (%)	Lipides (%)	Protéines (%)	Diversité phylogénétique	Diversité phylogénétique pondérée	Indice de Shannon	Indice de Simpson	URL de la recette
Gâteau au yaourt	Levure chimique	-	5 g	4.73 g	5,4	33,2	0,2	1,96	156.0	27.95	-6.38	20.64	https://www.marmiton.org/recettes/recette_gateau-au-yaourt_12719.aspx
Gâteau au yaourt	Huile de colza	Brassica napus	20 cl	200.0 g	0	0	100	0	156.0	27.95	-6.38	20.64	https://www.marmiton.org/recettes/recette_gateau-au-yaourt_12719.aspx
Gâteau au yaourt	Sucre semoule	Saccharum	100 g	99.83 g	0,17	99,8	0	0	156.0	27.95	-6.38	20.64	https://www.marmiton.org/recettes/recette_gateau-au-yaourt_12719.aspx
Gâteau au yaourt	Farine	Triticum aestivum	450 g	393.75 g	12,5	73,7	1	9,03	156.0	27.95	-6.38	20.64	https://www.marmiton.org/recettes/recette_gateau-au-yaourt_12719.aspx
Gâteau au yaourt	Citron	Citrus limon	5 g	0.68 g	86,3	3,14	< 0,3	1,13	156.0	27.95	-6.38	20.64	https://www.marmiton.org/recettes/recette_gateau-au-yaourt_12719.aspx
Gâteau au yaourt	Yaourt nature	-	150 g	19.2 g	87,2	3,47	3,6	3,84	156.0	27.95	-6.38	20.64	https://www.marmiton.org/recettes/recette_gateau-au-yaourt_12719.aspx
Gâteau au yaourt	Oeufs	Gallus gallus	160 g	37.92 g	76,3	0,27	9,83	12,7	156.0	27.95	-6.38	20.64	https://www.marmiton.org/recettes/recette_gateau-au-yaourt_12719.aspx
Gâteau au chocolat fondant rapide	sucre en poudre	Saccharum	100 g	99.83 g	0,17	99,8	0	0	159.33	39.41	0.87	2.09	https://www.marmiton.org/recettes/recette_gateau-au-chocolat-fondant-rapide_166352.aspx
Gâteau au chocolat fondant rapide	farine	Triticum aestivum	50 g	43.75 g	12,5	73,7	1	9,03	159.33	39.41	0.87	2.09	https://www.marmiton.org/recettes/recette_gateau-au-chocolat-fondant-rapide_166352.aspx
Gâteau au chocolat fondant rapide	chocolat pâtissier	-	200 g	198.6 g	0,7	42,9	33,8	6,63	159.33	39.41	0.87	2.09	https://www.marmiton.org/recettes/recette_gateau-au-chocolat-fondant-rapide_166352.aspx
Gâteau au chocolat fondant rapide	beurre	Bos taurus	100 g	84.6 g	15,4	0,9	82,9	0,7	159.33	39.41	0.87	2.09	https://www.marmiton.org/recettes/recette_gateau-au-chocolat-fondant-rapide_166352.aspx
Gâteau au chocolat fondant rapide	oeuf	Gallus gallus	180 g	42.66 g	76,3	0,27	9,83	12,7	159.33	39.41	0.87	2.09	https://www.marmiton.org/recettes/recette_gateau-au-chocolat-fondant-rapide_166352.aspx
Tiramisu (recette originale)	Sucre roux	Saccharum officinarum	100 g	98.69 g	1,31	97,3	0	0,12	160.0	32.24	1.18	1.26	https://www.marmiton.org/recettes/recette_tiramisu-recette-originale_12023.aspx
Tiramisu (recette originale)	Sucre vanillé	Saccharum	8 g	7.99 g	0,13	99	0,33	0,1	160.0	32.24	1.18	1.26	https://www.marmiton.org/recettes/recette_tiramisu-recette-originale_12023.aspx
Tiramisu (recette originale)	Biscuits à la cuillère	-	300 g	281.1 g	6,3	79,9	3,77	7,98	160.0	32.24	1.18	1.26	https://www.marmiton.org/recettes/recette_tiramisu-recette-originale_12023.aspx
