Recette	Ingrédient	Espèce	Quantité 	Matière sèche (g)	Eau (%)	Glucides (%)	Lipides (%)	Protéines (%)	Diversité phylogénétique	Diversité phylogénétique pondérée	Indice de Shannon	Indice de Simpson	URL de la recette	
Ratatouille	Aubergines	Solanum melongena	350 g	24.85 g	92,9	2,39	0,14	1,12	144.22	14.06	1.43	3.08	https://www.marmiton.org/recettes/recette_ratatouille_23223.aspx
Ratatouille	Courgettes	Cucurbita pepo	350 g	18.55 g	94,7	1,8	0,26	1,23	144.22	14.06	1.43	3.08	https://www.marmiton.org/recettes/recette_ratatouille_23223.aspx
Ratatouille	Poivrons	Capsicum annuum	350 g	27.65 g	92,1	4,55	0,27	0,8	144.22	14.06	1.43	3.08	https://www.marmiton.org/recettes/recette_ratatouille_23223.aspx
Ratatouille	Tomates	Solanum lycopersicum	500 g	140.0 g	72	17,1	0,53	4,4	144.22	14.06	1.43	3.08	https://www.marmiton.org/recettes/recette_ratatouille_23223.aspx
Ratatouille	Ail	Allium sativum	21 g	6.76 g	67,8	18,6	< 0,5	5,31	144.22	14.06	1.43	3.08	https://www.marmiton.org/recettes/recette_ratatouille_23223.aspx
Ratatouille	Huile d'olive	Olea europaea	90 g	89.91 g	0,1	0	99,9	< 0,5	144.22	14.06	1.43	3.08	https://www.marmiton.org/recettes/recette_ratatouille_23223.aspx
Ratatouille	Thym	Thymus vulgaris	5 g	1.75 g	65,1	10,5	1,68	5,56	144.22	14.06	1.43	3.08	https://www.marmiton.org/recettes/recette_ratatouille_23223.aspx
Ratatouille		Piper nigrum	1 g	1.0 g	0,027	0	0	0	144.22	14.06	1.43	3.08	https://www.marmiton.org/recettes/recette_ratatouille_23223.aspx
Ratatouille	Oignons	Allium cepa	350 g	36.4 g	89,6	6,25	0,62	1,1	144.22	14.06	1.43	3.08	https://www.marmiton.org/recettes/recette_ratatouille_23223.aspx
Ratatouille	Feuille de laurier	Laurus nobilis	4 g	3.78 g	5,44	48,6	8,36	7,61	144.22	14.06	1.43	3.08	https://www.marmiton.org/recettes/recette_ratatouille_23223.aspx
