Recette	Ingrédient	Espèce	Quantité 	Matière sèche (g)	Eau (%)	Glucides (%)	Lipides (%)	Protéines (%)	Diversité phylogénétique	Diversité phylogénétique pondérée	Indice de Shannon	Indice de Simpson	URL de la recette	
Lasagnes végétariennes (facile)	lasagnes	-	160 g	-	-	-	-	-	91.2	15.91	1.28	1.0	https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes-facile_10527.aspx
Lasagnes végétariennes (facile)	herbes de Provence	-	15 g	13.94 g	7,1	23	7,2	11,5	91.2	15.91	1.28	1.0	https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes-facile_10527.aspx
Lasagnes végétariennes (facile)	sel	-	1 g	1.0 g	0,027	0	0	0	91.2	15.91	1.28	1.0	https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes-facile_10527.aspx
Lasagnes végétariennes (facile)	poivre	Piper nigrum	1 g	0.91 g	9	39,5	7,5	13,3	91.2	15.91	1.28	1.0	https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes-facile_10527.aspx
Lasagnes végétariennes (facile)	courgette	Cucurbita pepo	1400 g	74.2 g	94,7	1,8	0,26	1,23	91.2	15.91	1.28	1.0	https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes-facile_10527.aspx
Lasagnes végétariennes (facile)	tomate	Solanum lycopersicum	600 g	70.8 g	88,2	8,53	0,2	2,05	91.2	15.91	1.28	1.0	https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes-facile_10527.aspx
Lasagnes végétariennes (facile)	basilic frais	Ocimum basilicum	5 g	0.42 g	91,7	2,55	0,47	3,35	91.2	15.91	1.28	1.0	https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes-facile_10527.aspx
Lasagnes végétariennes (facile)	gruyère râpé	-	400 g	-	-	-	-	-	91.2	15.91	1.28	1.0	https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes-facile_10527.aspx
Lasagnes végétariennes (facile)	coulis de tomate	Solanum lycopersicum	200 g	23.6 g	88,2	8,53	0,2	2,05	91.2	15.91	1.28	1.0	https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes-facile_10527.aspx
Lasagnes végétariennes (facile)	oignon	Allium cepa	560 g	58.24 g	89,6	6,25	0,62	1,1	91.2	15.91	1.28	1.0	https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes-facile_10527.aspx
